running on 6718 samples
training model...
trained model...
sample 554 incorrect/failed threshold, score = 0.578964
sample 555 correct/failed threshold, score = 0.596303
sample 556 correct, score = 0.388475
sample 557 correct, score = 0.261879
sample 558 correct, score = 0.269969
sample 559 correct/failed threshold, score = 0.603572
sample 560 tone not detected, 1 false positives, score = 0.248295
sample 561 correct with 1 false positives, score = 0.336927
sample 562 correct, score = 0.241656
sample 563 correct/failed threshold, score = 0.493479
sample 564 correct, score = 0.340778
sample 565 correct, score = 0.338798
sample 566 correct, score = 0.331791
sample 567 correct/failed threshold, score = 0.452342
sample 568 incorrect/failed threshold, score = 0.679426
sample 569 correct/failed threshold, score = 0.508709
sample 570 correct/failed threshold, score = 0.506750
sample 571 correct, score = 0.436946
sample 572 correct/failed threshold, score = 0.571740
sample 573 correct/failed threshold, score = 0.440490
sample 574 incorrect/failed threshold, score = 0.531364
sample 575 correct, score = 0.431847
sample 576 correct/failed threshold, score = 0.483214
sample 577 correct, score = 0.288498
sample 578 correct/failed threshold, score = 0.446549
sample 579 correct/failed threshold, score = 0.520857
sample 580 incorrect/failed threshold, score = 0.635552
sample 581 correct/failed threshold, score = 0.570880
sample 582 correct, score = 0.331775
sample 583 correct, score = 0.263962
sample 584 incorrect/failed threshold, score = 0.689679
sample 585 tone not detected, 1 false positives, score = 0.167834
sample 586 incorrect/failed threshold, score = 0.556842
sample 587 incorrect/failed threshold, score = 0.574141
sample 588 correct, score = 0.408888
sample 589 incorrect/failed threshold, score = 0.593018
sample 590 incorrect/failed threshold, score = 0.577611
sample 591 correct/failed threshold, score = 0.580518
sample 592 correct, score = 0.207288
sample 593 correct, score = 0.323691
sample 594 incorrect/failed threshold, score = 0.609528
sample 595 correct/failed threshold, score = 0.448203
sample 596 incorrect/failed threshold, score = 0.643863
sample 597 incorrect/failed threshold, score = 0.619906
sample 598 incorrect/failed threshold, score = 0.580798
sample 599 correct, score = 0.131566
sample 600 correct, score = 0.344885
sample 601 correct, score = 0.369506
sample 602 correct, score = 0.423066
sample 603 incorrect/failed threshold, score = 0.598488
sample 604 correct, score = 0.204711
sample 605 correct, score = 0.262011
sample 606 correct, score = 0.390403
sample 607 correct, score = 0.208887
sample 608 correct, score = 0.267655
sample 609 correct/failed threshold, score = 0.600719
sample 610 correct, score = 0.353916
sample 611 correct/failed threshold, score = 0.704989
sample 612 incorrect/failed threshold, score = 0.570173
sample 613 correct, score = 0.404630
sample 614 correct, score = 0.392163
sample 615 correct/failed threshold, score = 0.481965
sample 616 correct/failed threshold, score = 0.559659
sample 617 correct, score = 0.337412
sample 618 correct, score = 0.322589
sample 619 incorrect/failed threshold, score = 0.587122
sample 620 incorrect/failed threshold, score = 0.584942
sample 621 correct/failed threshold, score = 0.589044
sample 622 correct/failed threshold, score = 0.589610
sample 623 correct/failed threshold, score = 0.568218
sample 624 correct/failed threshold, score = 0.527513
sample 625 correct/failed threshold, score = 0.538909
