running on 6718 samples
training model...
trained model...
sample 385 incorrect/failed threshold, score = 1.004065
sample 386 correct/failed threshold, score = 0.650127
sample 387 correct/failed threshold, score = 0.549797
sample 388 correct/failed threshold, score = 0.478762
sample 389 correct/failed threshold, score = 0.412856
sample 390 correct/failed threshold, score = 0.415244
sample 391 correct/failed threshold, score = 0.522839
sample 392 incorrect/failed threshold, score = 0.890522
sample 393 correct/failed threshold, score = 0.394309
sample 394 correct/failed threshold, score = 0.452575
sample 395 correct/failed threshold, score = 0.574371
sample 396 correct/failed threshold, score = 0.622175
sample 397 correct/failed threshold, score = 0.391557
sample 398 correct/failed threshold, score = 0.558177
sample 399 correct/failed threshold, score = 0.467507
sample 400 correct, score = 0.317527
sample 401 correct/failed threshold, score = 0.387694
sample 402 correct/failed threshold, score = 0.540057
sample 403 correct/failed threshold, score = 0.592585
sample 404 incorrect/failed threshold, score = 0.625580
sample 405 correct, score = 0.309756
sample 406 correct/failed threshold, score = 0.493204
sample 407 correct/failed threshold, score = 0.546858
sample 408 incorrect/failed threshold, score = 0.767140
sample 409 correct, score = 0.374824
sample 410 correct/failed threshold, score = 0.714202
sample 411 correct, score = 0.248317
sample 412 correct, score = 0.356658
sample 413 correct/failed threshold, score = 0.413744
sample 414 correct, score = 0.169151
sample 415 correct, score = 0.314090
sample 416 correct, score = 0.088046
sample 417 correct/failed threshold, score = 0.591801
sample 418 incorrect/failed threshold, score = 0.645051
sample 419 correct/failed threshold, score = 0.409006
sample 420 correct, score = 0.369103
sample 421 correct, score = 0.295702
sample 422 incorrect/failed threshold, score = 1.392633
sample 423 correct, score = 0.358120
sample 424 correct/failed threshold, score = 0.498410
sample 425 correct/failed threshold, score = 0.449580
sample 426 correct, score = 0.185779
sample 427 incorrect/failed threshold, score = 0.747854
sample 428 incorrect/failed threshold, score = 0.745578
sample 429 correct/failed threshold, score = 0.507312
sample 430 correct/failed threshold, score = 0.574878
sample 431 incorrect/failed threshold, score = 0.719185
sample 432 correct/failed threshold, score = 0.882956
sample 433 correct/failed threshold, score = 0.455758
sample 434 correct/failed threshold, score = 0.553090
sample 435 correct/failed threshold, score = 0.440434
sample 436 correct/failed threshold, score = 0.571979
sample 437 incorrect/failed threshold, score = 0.829001
sample 438 correct/failed threshold, score = 0.455642
sample 439 correct, score = 0.197044
sample 440 correct/failed threshold, score = 0.663425
sample 441 correct/failed threshold, score = 0.485525
sample 442 incorrect/failed threshold, score = 1.073869
sample 443 correct/failed threshold, score = 0.931550
sample 444 correct, score = 0.298755
sample 445 incorrect/failed threshold, score = 1.430395
sample 446 correct/failed threshold, score = 0.393850
sample 447 incorrect/failed threshold, score = 0.634696
sample 448 correct/failed threshold, score = 0.622532
sample 449 correct/failed threshold, score = 0.660742
sample 450 incorrect/failed threshold, score = 0.771769
sample 451 incorrect/failed threshold, score = 0.817504
sample 452 correct/failed threshold, score = 0.573993
sample 453 correct, score = 0.301652
sample 454 correct, score = 0.340231
sample 455 correct/failed threshold, score = 0.653092
sample 456 correct/failed threshold, score = 0.415664
sample 457 incorrect/failed threshold, score = 0.666747
sample 458 incorrect/failed threshold, score = 1.216550
sample 459 incorrect/failed threshold, score = 1.217452
sample 460 correct, score = 0.236999
sample 461 incorrect/failed threshold, score = 0.624765
sample 462 correct, score = 0.326378
sample 463 correct, score = 0.132920
sample 464 correct, score = 0.326969
sample 465 incorrect/failed threshold, score = 1.126680
sample 466 incorrect/failed threshold, score = 0.721625
sample 467 incorrect/failed threshold, score = 0.789938
sample 468 correct, score = 0.327216
sample 469 correct, score = 0.378961
sample 470 correct, score = 0.306706
sample 471 correct/failed threshold, score = 0.541836
sample 472 correct, score = 0.312465
sample 473 incorrect/failed threshold, score = 1.209037
sample 474 correct, score = 0.344140
sample 475 incorrect/failed threshold, score = 1.012217
sample 476 correct/failed threshold, score = 0.503828
sample 477 correct/failed threshold, score = 0.579273
sample 478 correct/failed threshold, score = 0.510374
sample 479 incorrect/failed threshold, score = 0.791701
sample 480 incorrect/failed threshold, score = 0.880687
sample 481 correct, score = 0.160495
sample 482 correct, score = 0.221611
sample 483 correct/failed threshold, score = 0.485859
sample 484 correct/failed threshold, score = 0.406544
sample 485 correct, score = 0.190361
sample 486 incorrect/failed threshold, score = 1.295401
sample 487 correct, score = 0.185244
sample 488 correct/failed threshold, score = 0.574146
sample 489 correct/failed threshold, score = 0.544005
sample 490 correct/failed threshold, score = 0.528512
sample 491 incorrect/failed threshold, score = 0.757108
sample 492 incorrect/failed threshold, score = 0.863785
sample 493 incorrect/failed threshold, score = 0.789509
sample 494 correct, score = 0.333239
sample 495 correct/failed threshold, score = 0.462426
sample 496 correct, score = 0.202129
sample 497 incorrect/failed threshold, score = 0.708634
sample 498 incorrect/failed threshold, score = 0.767019
sample 499 correct/failed threshold, score = 0.605170
sample 500 correct/failed threshold, score = 0.481801
sample 501 correct, score = 0.149792
sample 502 correct, score = 0.217434
sample 503 correct, score = 0.335747
sample 504 correct, score = 0.212696
sample 505 correct/failed threshold, score = 0.409838
sample 506 correct/failed threshold, score = 0.523844
sample 507 correct/failed threshold, score = 0.402254
sample 508 correct/failed threshold, score = 0.619330
sample 509 correct, score = 0.190503
sample 510 correct/failed threshold, score = 0.574047
