running on 6718 samples
training model...
trained model...
sample 612 incorrect/failed threshold, score = 0.934543
sample 613 correct, score = 0.404630
sample 614 correct, score = 0.392163
sample 615 correct, score = 0.481965
sample 616 correct/failed threshold, score = 0.875541
sample 617 correct, score = 0.337412
sample 618 correct, score = 0.322589
sample 619 incorrect/failed threshold, score = 0.733494
sample 620 incorrect/failed threshold, score = 0.783364
sample 621 correct, score = 0.589044
sample 622 correct, score = 0.589610
sample 623 correct, score = 0.568218
sample 624 correct, score = 0.527513
sample 625 correct, score = 0.538909
sample 626 correct, score = 0.352117
sample 627 correct, score = 0.275864
sample 628 correct, score = 0.399515
sample 629 no tones detected, score = 0.629558
sample 630 correct, score = 0.409857
sample 631 correct, score = 0.559015
sample 632 correct, score = 0.274399
sample 633 no tones detected, score = 0.677277
sample 634 correct, score = 0.533607
sample 635 correct, score = 0.456023
sample 636 incorrect/failed threshold, score = 0.802694
sample 637 incorrect/failed threshold, score = 0.931819
sample 638 incorrect/failed threshold, score = 1.102991
sample 639 no tones detected, score = 0.646416
sample 640 correct, score = 0.454909
sample 641 correct, score = 0.347269
sample 642 correct, score = 0.450789
sample 643 correct, score = 0.587286
sample 644 correct, score = 0.394609
sample 645 no tones detected, score = 0.617103
sample 646 correct, score = 0.300540
sample 647 correct, score = 0.483996
sample 648 correct, score = 0.418705
sample 649 correct, score = 0.266445
sample 650 incorrect/failed threshold, score = 1.364128
sample 651 incorrect/failed threshold, score = 0.935057
sample 652 incorrect/failed threshold, score = 1.494586
sample 653 correct with 1 false positives, score = 0.662029
sample 654 correct, score = 0.324027
sample 655 correct, score = 0.479456
sample 656 correct, score = 0.204301
sample 657 correct, score = 0.359516
sample 658 correct, score = 0.391733
sample 659 correct, score = 0.335499
sample 660 correct, score = 0.476026
sample 661 correct, score = 0.245935
sample 662 incorrect/failed threshold, score = 0.834411
sample 663 no tones detected, score = 0.685257
sample 664 correct, score = 0.580511
sample 665 correct, score = 0.394594
sample 666 incorrect/failed threshold, score = 0.753027
sample 667 incorrect/failed threshold, score = 0.786145
sample 668 correct, score = 0.473121
sample 669 incorrect/failed threshold, score = 1.041544
sample 670 incorrect/failed threshold, score = 0.886458
sample 671 incorrect/failed threshold, score = 0.820095
sample 672 correct, score = 0.549079
sample 673 incorrect/failed threshold, score = 0.722697
sample 674 incorrect/failed threshold, score = 0.822747
sample 675 incorrect/failed threshold, score = 0.771419
sample 676 correct, score = 0.186940
sample 677 correct, score = 0.484196
sample 678 correct, score = 0.247478
sample 679 correct, score = 0.443980
sample 680 incorrect/failed threshold, score = 0.752604
sample 681 correct, score = 0.352340
sample 682 correct, score = 0.544477
sample 683 incorrect/failed threshold, score = 1.094129
sample 684 incorrect/failed threshold, score = 1.045577
sample 685 correct, score = 0.597573
sample 686 correct, score = 0.527144
sample 687 incorrect/failed threshold, score = 0.764565
sample 688 no tones detected, score = 0.680185
sample 689 correct, score = 0.222317
sample 690 correct, score = 0.557333
sample 691 correct, score = 0.306675
sample 692 correct, score = 0.268953
sample 693 incorrect/failed threshold, score = 0.857554
sample 694 incorrect/failed threshold, score = 0.843807
sample 695 incorrect/failed threshold, score = 1.041059
sample 696 correct, score = 0.376560
sample 697 correct, score = 0.661913
sample 698 incorrect/failed threshold, score = 0.749744
sample 699 correct, score = 0.566065
sample 700 correct, score = 0.516932
sample 701 incorrect/failed threshold, score = 0.902109
sample 702 correct, score = 0.261335
sample 703 correct, score = 0.277419
sample 704 correct, score = 0.438368
sample 705 correct, score = 0.450640
sample 706 correct, score = 0.374614
sample 707 incorrect/failed threshold, score = 1.328088
sample 708 correct, score = 0.402771
sample 709 incorrect/failed threshold, score = 0.789630
sample 710 incorrect/failed threshold, score = 0.911015
sample 711 incorrect/failed threshold, score = 0.740644
sample 712 incorrect/failed threshold, score = 1.149741
sample 713 correct, score = 0.385133
sample 714 no tones detected, score = 0.681273
sample 715 correct, score = 0.311258
sample 716 correct, score = 0.382569
sample 717 no tones detected, score = 0.679458
sample 718 no tones detected, score = 0.681361
sample 719 correct, score = 0.241487
sample 720 correct, score = 0.645641
sample 721 correct, score = 0.295638
sample 722 correct, score = 0.305792
sample 723 correct/failed threshold, score = 0.855999
sample 724 incorrect/failed threshold, score = 0.943688
sample 725 incorrect/failed threshold, score = 0.873811
sample 726 incorrect/failed threshold, score = 1.354038
sample 727 correct, score = 0.072290
sample 728 correct, score = 0.499328
sample 729 no tones detected, score = 0.682944
sample 730 correct, score = 0.591291
sample 731 incorrect/failed threshold, score = 0.906959
sample 732 correct, score = 0.465958
sample 733 no tones detected, score = 0.616771
